x,y
4.132113837087649344e+00,-3.709932324751120447e+00
-2.029252109452113206e+00,4.188049058505368016e+00
4.472504458655778947e+00,-1.442929643313752397e+00
5.007608962410301956e+00,3.815365963513061009e-01
-2.588095650204125242e+00,-4.367869792962123299e+00
3.754360237351562102e+00,-2.592484615300763018e+00
4.517331346691318750e+00,-2.532054806200208397e+00
-4.236688289614450653e+00,3.797231338852650406e+00
-4.720427617292563660e+00,2.094563174394677763e+00
3.669884342028225888e+00,3.316511061955150996e+00
4.013907928982627382e+00,2.912608137046996060e+00
3.792238363246976718e+00,3.507088876189764726e+00
4.348904605649557276e+00,-8.776484484052217150e-01
-5.266171397968836487e+00,-2.672953905858949319e+00
2.968281807966122177e+00,-4.440635364966382781e+00
-4.426057851095659856e+00,2.559088976684257499e+00
-4.776488082922125677e+00,-9.252835717672911464e-01
1.926090601059305130e-01,-5.361808841398288727e+00
3.947139001149350124e-01,-4.775398521436629018e+00
-3.607527186289491539e+00,3.488759268450855267e+00
-1.050084144750187409e+00,-4.751013082718784197e+00
-3.743512767056698998e+00,-3.884835950587971709e+00
-1.340609710279282996e-01,-4.638838797978992901e+00
8.762954643334182059e-01,-4.944402153075702522e+00
-3.705206861025370113e+00,-3.279591152071282600e+00
-2.960997376242332280e+00,4.471589542989106825e+00
2.270832593736927141e+00,-4.675265064593058462e+00
-4.522061308013506142e+00,2.855611200102448066e+00
-4.504111676706928691e+00,-1.785568426151111110e+00
1.315022042821358816e+00,4.680559134928024001e+00
-4.271100132172318986e+00,-2.723458327095729103e+00
-2.201846775280830171e-01,-4.628714562636989882e+00
2.666128225321062750e+00,4.403971351365637332e+00
4.557615924040312017e+00,-2.042962555534177493e+00
-2.806137774984950095e+00,-4.182383375983274476e+00
-4.613546066677955970e+00,-2.303529452050476767e+00
-4.679333667640680261e+00,-2.250260523471712681e-01
3.883441562270288472e+00,2.608833950960645964e+00
4.832501773452885230e-01,-4.729588172784772837e+00
4.826506647174143794e+00,2.281050403192037557e+00
-1.241776060279200289e+00,-4.744534713992243802e+00
-8.311138626592932122e-01,4.063820802491163064e+00
3.890209257166248324e-01,4.709387252653591815e+00
-3.272360127781384520e+00,-3.128635459674766750e+00
4.935544183082029690e+00,-1.359753508992532112e+00
2.145979470754839191e+00,-4.896096165055338290e+00
3.767846763745675176e+00,-3.201443730386667408e+00
-3.485082250159144746e+00,3.779797400081455816e+00
6.419111017109645489e-01,5.276221187373463017e+00
-1.766596521349610982e-01,4.770707106207537684e+00
-4.458516031372856681e+00,-2.485828801863434467e+00
1.164902362610176212e+00,4.783366429449257495e+00
-4.788668813862551055e+00,1.157189470813685839e+00
-4.654573201049132969e+00,1.402718578922133474e+00
2.000335924553400258e+00,-4.601456432658062035e+00
-4.729473435140147397e-01,5.134486248167758227e+00
-3.464916248778605823e+00,3.632119787702988045e+00
-2.051379648365768471e+00,4.932162723301847684e+00
1.623520484189882485e+00,-4.992368136587765903e+00
3.323633252935624061e+00,-3.992786285327259321e+00
-5.196029479160584330e+00,-4.527302818772165338e-01
-2.551099704368533061e+00,-4.858047073185201015e+00
-1.058231999194302775e+00,-4.770487127619885470e+00
-1.890068024345888387e-01,-4.993786495495824873e+00
1.984954967524524383e+00,-4.822020080147827237e+00
-2.057024417086215085e+00,-4.219465531459227314e+00
-2.441253686762864472e+00,-4.271171024952962192e+00
3.673059709781124393e+00,-3.450555918804612432e+00
3.013592279533572338e+00,-3.610961365651760957e+00
5.457972966012127891e+00,3.737483772478211730e-01
4.493517681493529814e+00,-1.584969490405435888e+00
-3.427192159545391803e+00,-3.812635925855948571e+00
-5.203658914628149113e+00,-4.691903586429780337e-01
3.320584164978141573e+00,3.601419438210062829e+00
-5.541332179822305193e+00,8.194663352263096279e-01
2.348429090882499182e+00,-4.114923834848526418e+00
3.511824125889762005e-01,-5.381014938726612407e+00
3.078297870261887392e-01,5.073619420713748163e+00
4.463423320074305423e+00,-2.255131917761762139e+00
-4.543821521704487942e+00,-1.599623991776950582e+00
1.141078003065207236e+00,5.202712061172727331e+00
1.116282006558519502e+00,5.167835628551768146e+00
-1.953049045657743843e+00,-4.440122162976980924e+00
2.147046259263861057e+00,-4.430421465653505031e+00
3.975590492763232398e-01,-4.835824041128175210e+00
-3.224527910227861227e+00,-3.590053834499621566e+00
-5.094169226153185903e+00,-1.228159668511979774e+00
-5.192127472444201253e+00,1.065001687838895927e+00
-2.812414984630621451e+00,4.026365854190225413e+00
5.220147409047390497e+00,-1.529806639374807320e+00
-1.116579253241828162e+00,-4.827688774559807605e+00
-5.061535297943395406e+00,-1.038709912019974091e+00
-2.816755660548021289e+00,4.019371451194389877e+00
3.305308731710856485e+00,-4.077159026891758131e+00
-3.303585561310804497e+00,4.367553005790332676e+00
-4.829668776482250792e+00,1.134765839109538099e+00
5.883995241795849651e-01,4.769927439677139169e+00
-4.884672222334327962e+00,-1.745546273073375620e-02
4.127256084136206482e+00,-2.465249929033081155e+00
-2.905546823570934301e+00,-4.864433253407345781e+00
-1.892937139329135210e+00,4.824810469897696130e+00
-6.689025649972735188e-01,-4.844137989667726352e+00
4.460991887027426550e+00,-2.126754661255380707e+00
-1.683771633930505773e+00,4.157872282642359529e+00
-1.111785767437393879e+00,-5.120746386245219384e+00
-4.638035892869869059e+00,-2.482424151167886839e-01
4.235074612481521505e+00,1.815957154087928238e+00
2.089035815607428681e+00,4.387962921587100773e+00
-4.724748393944609326e+00,-7.710431311764898155e-02
3.511040506137411477e+00,-3.811940197822408560e+00
-1.052658061902624009e+00,-4.681728718873979567e+00
5.419357818630913037e+00,1.734742004726776143e-02
-2.882920232781450487e+00,-4.655568760319486188e+00
-4.017754366045682701e+00,-4.007420081320259619e+00
2.914832140995692544e+00,-4.686046615432928775e+00
3.458426718416682366e+00,-2.858769920343219528e+00
5.028413423429063833e+00,1.446150033763189624e+00
-4.690059242046900501e+00,6.529467178626757740e-01
2.113084786509392021e+00,4.731795319949651635e+00
-4.070353084946911615e+00,2.494555176627059723e+00
-1.791402176148923386e+00,-4.847338453325383156e+00
-4.073393949620515819e+00,-3.736742052395038538e+00
3.709426877230696640e+00,-4.012154940947744386e+00
-4.806196821163972288e+00,-2.696673481443174758e-01
-1.087714313160008883e+00,5.615517036809755780e+00
-2.408507980736769749e+00,4.959384082878422362e+00
-4.307645727310907446e+00,-2.565242264790092097e+00
4.098796948925065742e+00,-3.475101464631082049e+00
-1.131846690879636963e+00,-4.537580810374682194e+00
5.345912573580434035e+00,-3.493650487638050861e-01
-3.156635269207270333e+00,3.690113264573533947e+00
1.661864010716749718e+00,4.405773825717017367e+00
2.857201188763210276e+00,3.985885466184083903e+00
-4.578107355410306667e+00,2.209087377883089509e+00
3.541226277265376865e+00,3.606038640366461934e+00
-1.564113828124653383e+00,4.450870521630965193e+00
-5.507479258548660939e-01,4.978102251017702429e+00
2.241347532532594666e+00,4.006234233917373544e+00
1.780345621024437719e+00,-4.969125183377137489e+00
-1.844218816669406014e+00,4.244772589486045966e+00
4.053743714114123264e+00,-3.029302437418053717e+00
4.348415394398526423e+00,-3.541464225945385458e+00
-4.555699764395578555e+00,-2.681758383241945598e+00
1.392124115185987776e+00,4.960097435354459350e+00
-1.432351897725653522e+00,5.133470342230302741e+00
3.817137920086997038e+00,3.468434076307724823e+00
-5.158100025468854710e+00,2.834564287498501756e+00
-4.936034360408188881e+00,9.020428516743070890e-01
-5.183425748798227595e+00,2.226981723887080378e-01
-4.838611281347937165e+00,-1.709291820679618823e+00
-4.853727384100798403e+00,-9.742131112998535514e-01
-2.406498237874881596e+00,4.261460849891372860e+00
-4.511389302331690665e+00,-1.445811110634167784e+00
3.976686166298864400e+00,-3.072484111834065335e+00
2.432619094742544341e+00,-4.033281336270829520e+00
5.013367720745537603e+00,-1.571816427683554451e+00
-4.781856114356919818e+00,2.152594248979283975e+00
-7.002011643013858477e-02,4.789318673403196058e+00
-1.415568831758785562e+00,-4.442509845021693771e+00
3.850847717335279974e+00,3.328778445942604414e+00
3.541327154917836673e+00,3.491160591155017201e+00
3.264407765887240576e+00,-4.046171156180000672e+00
2.192604710385639866e+00,5.363675027257350791e+00
-4.362807907458056356e+00,-1.715880952198080012e+00
-1.269769179787304747e+00,5.151475178846492753e+00
-2.075338221792342619e+00,4.456469458099233449e+00
4.691101811672941935e+00,-6.213065603721104058e-01
-7.482189856699730246e-01,-5.133284556713852531e+00
2.767659261961319395e+00,-4.147757680341097597e+00
-3.355280859494649270e+00,-3.364182574225456523e+00
-5.109938823681947184e+00,1.373493498416046066e+00
-3.396812732623944342e+00,3.137624385771831559e+00
-1.578556391259781977e+00,-4.961599592064433573e+00
-4.097416928775368561e+00,-2.028471707712228511e+00
-4.393401978433572275e+00,-2.583541252377030251e+00
-5.125522588559788595e+00,-3.749165452791902720e-01
-5.074133159530542336e+00,1.021630156956948587e+00
-4.903552265257016707e+00,-2.674990419734156966e+00
3.409393543955801853e+00,-3.540673416293425912e+00
-3.412956644529788974e+00,-3.829883866482026722e+00
4.675874752131237599e+00,1.687924853993215901e+00
-1.566518420707340153e+00,4.544983576580118090e+00
-4.475316350296224321e+00,2.577256670926012294e+00
4.282262961116019895e+00,-2.532061643235826054e+00
3.168781494689527189e+00,4.163660600859661720e+00
-6.114652708245185142e-01,4.650843490586904494e+00
4.967555101396786910e+00,-6.647055264507435446e-01
-2.242141634782422344e+00,-4.142692353502395619e+00
4.218751732531536014e+00,2.231793253366210372e+00
-3.536482394149897956e+00,-3.468692910855094791e+00
-9.164424643479611721e-01,-4.609317606689167235e+00
1.595584149434646104e+00,-4.494765714772777976e+00
3.335886343571482282e+00,-3.279569617332190212e+00
4.619357920589221678e+00,-1.588417745862052533e+00
4.449971554213613345e+00,-3.046010712557995603e+00
-1.597757590076393841e+00,-4.677742082896650722e+00
-4.666922265534685366e+00,5.562721767569580589e-01
3.773605921340529967e+00,3.217596436811958061e+00
4.896853350882468980e+00,1.609933557676747062e+00
-4.543956201640837023e+00,-2.080088344283873791e+00
-3.450209501376863219e+00,-3.884037699550396461e+00
4.855428502109834454e+00,-4.335272683470208221e-01
3.383879253673535814e+00,-4.554652272174370076e+00
5.004894101409634644e+00,9.365010409046160555e-01
-2.299382138697105837e+00,-4.453918727074029249e+00
3.641651356226301317e+00,-2.414558045173299305e+00
-1.040629444952875238e+00,5.085452053499826874e+00
-4.067664989307577805e+00,-3.345739060588676761e+00
4.412377181964643569e+00,-8.399110921404016050e-01
3.514901481920465365e+00,-3.580116209601029720e+00
-2.402988289387508303e+00,-5.088870558852455872e+00
-4.705306213720856334e+00,1.326692551132647724e+00
-2.910537581708880328e+00,3.272355511028160358e+00
4.242010366578668368e+00,-2.781923063959623743e+00
-1.191819978683614112e+00,5.143331771002547903e+00
4.419334578536735059e+00,2.614302409574531527e+00
-3.280881918067929170e+00,2.800298319017819004e+00
-4.285864151540529354e-01,4.504489984229104849e+00
5.198901963508208546e+00,1.253353152222232758e+00
4.835363477954435218e-02,-5.304394532823961228e+00
4.968282247892012116e+00,1.072890381345098731e+00
-1.730274900689434903e+00,4.188304060070969115e+00
-4.423631574347710149e+00,-2.905544361831964295e+00
-2.210701696676923067e+00,-5.041502414725424153e+00
-2.061306550613891120e-01,4.795024841905732416e+00
-3.559467482568164920e-01,-5.199858495718051365e+00
-2.277429843463054659e+00,-4.371556222587590135e+00
4.255361263792377891e+00,-2.755586186679220617e+00
-1.041518315832338892e+00,5.036918704439828254e+00
-1.661222045078134313e+00,-4.968304285458812863e+00
1.491117060346215106e-01,-5.159325607607359920e+00
5.185942796606721750e+00,-8.009543102364667932e-01
-5.542816271684626983e+00,-6.018921541828478605e-02
2.774898503781170866e+00,4.579279842945584988e+00
-5.539937219832218318e-01,5.163370409302064701e+00
-4.809828935801886196e+00,1.402676868992873971e-01
-1.680720507443298040e+00,4.405628759193128019e+00
-2.897714680614036808e+00,-4.263435895220455407e+00
4.364723259484412310e+00,-2.270159732960593590e+00
4.202809703002198916e+00,1.952250637655171595e+00
-4.237688118450683383e+00,1.564977175996739467e+00
4.558093498881346406e+00,-2.986532959766399653e+00
3.255471794816753750e+00,3.480539088293994165e+00
-2.128289557443788116e+00,-4.889865775399034220e+00
-8.884835091405416385e-01,4.873892918997919210e+00
3.370993397357722188e+00,3.657590299579049464e+00
-3.698515780694925592e+00,-3.229659717194468094e+00
-5.014097802971944517e+00,1.942559240450913993e+00
1.035073815307817613e+00,-4.691747147849666177e+00
-1.701697161053472351e+00,-4.114707027165565911e+00
-2.612885020688224369e+00,-4.461618617849656410e+00
9.529123784935373820e-01,4.885554380684582476e+00
4.222080492945693209e+00,-3.295975856849444607e+00
-3.900494186419261489e+00,2.502916244960691206e+00
-4.244987893979555338e+00,-2.063362032214181241e+00
-1.064260119097779400e+00,-5.087649783346976484e+00
-4.662249860990028694e+00,-2.481269100009413808e+00
4.149403554237042435e+00,2.563214019222320950e+00
-4.506197860807861666e+00,2.014033131571599355e+00
3.395948230720836403e+00,-3.288864578580719567e+00
4.699416015320306172e+00,-2.107361028864687125e+00
4.215518431506856345e+00,2.492636962113933929e+00
2.636775542744698608e+00,-4.478490045557790289e+00
1.869880846168677779e-01,5.589218591099262667e+00
2.659415722892588541e+00,-3.839506503554522610e+00
2.983299768977138999e+00,-4.710294480486465929e+00
1.656974954766821995e+00,4.177410506538198121e+00
-1.989671651514985262e+00,4.266822852185148562e+00
-5.087158752125966465e+00,-4.611716528196570519e-01
4.891241062462370337e+00,8.370265533739931207e-01
2.978979389695915359e+00,3.781393325911850845e+00
1.568492795035562715e+00,4.702605389465600361e+00
-4.932368516189294283e+00,8.935864222099628718e-01
-3.098732457627590531e+00,4.015537605764838425e+00
4.019920070307971827e+00,-3.356899708096733992e+00
4.824906037092215882e+00,9.617699726085291445e-01
4.176177501254840330e+00,1.815247767715117311e+00
5.488310065856858433e-01,-5.289292295738940552e+00
1.400395244319496468e+00,-4.789906046891392322e+00
4.613352719128134716e+00,-4.136083971858828812e-01
5.059902607214440629e+00,1.322653358022011005e+00
-4.657176666398899378e+00,-9.413640372107713317e-01
-3.456806718525338717e-01,4.939835245735241465e+00
4.808561191690252201e+00,2.251754820921401112e+00
4.068371826190544382e+00,-2.923526107852379319e+00
4.320568864949248855e+00,3.084368274937690835e+00
3.291325753040520663e+00,3.229451525481931817e+00
-2.969001626344617839e-01,5.108019192372866613e+00
-4.030745851107749189e+00,1.716074073967882807e+00
3.649215710689803771e+00,3.630521821130536786e+00
-4.833628662070559301e+00,-1.686692135106268475e+00
3.702288167794044238e+00,3.408927562595224448e+00
-1.905568759097631126e+00,4.824148674914447987e+00
8.059998273953794534e-01,-4.529454636844398863e+00
3.752933726026608685e+00,3.724800698128866383e+00
2.675836426276376301e+00,4.138808227877023072e+00
5.114934742624956066e+00,-2.495612521578848275e-01
4.061680530710497727e+00,-2.532522578387524703e+00
1.434518325876447120e+00,-4.918597929763112830e+00
4.515527308783556570e+00,2.130158039675747794e+00
-1.246059324617468267e+00,5.778443522182223901e+00
-2.508534418241467279e+00,4.436115564846254244e+00
4.903999627390744465e+00,2.546866704572559925e+00
4.768483545941759161e+00,2.465546487996152614e+00
2.472401841918790755e+00,-4.375691292631892715e+00
1.736142106183923062e+00,-5.462134290825869876e+00
-4.691160505101247269e-01,4.386917000542610801e+00
